0,2306471.0,6856749.0,1272168.0,6982407.0,1661405.0,7302643.0,270798.0,1;0,1352799.0,5205253.0,04346085.0,1557803.0,7266388.0,544157.0,527418.0,2;0,383821.0,7086946.0,2485197.0,5514777.0,3388635.0,5225504.0,3548587.0,15;0,1310093.0,7972066.0,8111974.0,1804956.0,3347816.0,3194048.0,2895384.0,15;0,5352872.0,5563235.0,4566512.0,4656428.0,5101875.0,4879269.0,4728951.0,3;0,7140521.0,5999923.0,9989249.0,45533.0,9588981.0,5790791.0,6147671.0,05;0,2992035.0,1768655.0,3256248.0,2748573.0,8272317.0,5461039.0,4177798.0,15;0,8105594.0,5564465.0,9156953.0,4372292.0,4765203.0,7699862.0,9110541.0,1;0,9631507.0,8490207.0,9260728.0,1806569.0,6018105.0,359397.0,6338067.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7382793.0,1655968.0,7227688.0,2633163.0,55;0,1352799.0,5205253.0,04346085.0,1583961.0,7257935.0,6502942.0,5275827.0,15;0,383821.0,7086946.0,2485197.0,6615836.0,3531393.0,5342876.0,3269808.0,45;0,1310093.0,7972066.0,8111974.0,1804956.0,3347816.0,3194048.0,2895384.0,15;0,5352872.0,5563235.0,4566512.0,4889967.0,5300698.0,5005249.0,4312126.0,35;0,7140521.0,5999923.0,9989249.0,4499564.0,9588981.0,5790791.0,6074993.0,25;0,2992035.0,1768655.0,3256248.0,3726066.0,7905632.0,3901431.0,3681285.0,25;0,8105594.0,5564465.0,9156953.0,5081471.0,6397381.0,870384.0,9396234.0,3;0,9631507.0,8490207.0,9260728.0,1806569.0,6018105.0,359397.0,6338067.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7394091.0,1645533.0,7205564.0,2625681.0,75;0,1352799.0,5205253.0,04346085.0,1587844.0,6620506.0,7005232.0,5575489.0,1;0,383821.0,7086946.0,2485197.0,6748078.0,3668946.0,5281355.0,3146203.0,55;0,1310093.0,7972066.0,8111974.0,1804956.0,3347816.0,3194048.0,2895384.0,15;0,5352872.0,5563235.0,4566512.0,4889967.0,5300698.0,5005249.0,4312126.0,35;0,7140521.0,5999923.0,9989249.0,4482142.0,9657484.0,5790791.0,6107295.0,45;0,2992035.0,1768655.0,3256248.0,3711505.0,7924365.0,3944992.0,3674087.0,3;0,8105594.0,5564465.0,9156953.0,5197316.0,6224785.0,8558911.0,9359362.0,45;0,9631507.0,8490207.0,9260728.0,1806569.0,6018105.0,359397.0,6338067.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7306926.0,1690861.0,7328457.0,270798.0,85;0,1352799.0,5205253.0,04346085.0,1587844.0,6620506.0,7005232.0,5575489.0,1;0,383821.0,7086946.0,2485197.0,6748078.0,3668946.0,5281355.0,3146203.0,55;0,1310093.0,7972066.0,8111974.0,1804956.0,3347816.0,3194048.0,2895384.0,15;0,5352872.0,5563235.0,4566512.0,5147728.0,5985522.0,5250425.0,4739112.0,3;0,7140521.0,5999923.0,9989249.0,4483814.0,9663712.0,5790791.0,6114635.0,55;0,2992035.0,1768655.0,3256248.0,3711505.0,7924365.0,3944992.0,3674087.0,3;0,8105594.0,5564465.0,9156953.0,5197316.0,6224785.0,8558911.0,9359362.0,45;0,9631507.0,8490207.0,9260728.0,199357.0,4711091.0,5165485.0,5817974.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7288492.0,170222.0,7362115.0,2730841.0,9;0,1352799.0,5205253.0,04346085.0,1587844.0,6620506.0,7005232.0,5575489.0,1;0,383821.0,7086946.0,2485197.0,6748078.0,3668946.0,5281355.0,3146203.0,55;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,5420166.0,6180616.0,5268317.0,4859432.0,35;0,7140521.0,5999923.0,9989249.0,4476866.0,9671184.0,5790791.0,6111332.0,5;0,2992035.0,1768655.0,3256248.0,3711505.0,7924365.0,3944992.0,3674087.0,3;0,8105594.0,5564465.0,9156953.0,5197316.0,6224785.0,8558911.0,9359362.0,45;0,9631507.0,8490207.0,9260728.0,199357.0,4711091.0,5165485.0,5817974.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7346386.0,1677101.0,72913.0,2683775.0,85;0,1352799.0,5205253.0,04346085.0,1587844.0,6620506.0,7005232.0,5575489.0,1;0,383821.0,7086946.0,2485197.0,6748078.0,3668946.0,5281355.0,3146203.0,55;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,6033702.0,5798401.0,5618408.0,4207781.0,35;0,7140521.0,5999923.0,9989249.0,449591.0,963465.0,5790791.0,6107295.0,45;0,2992035.0,1768655.0,3256248.0,3711505.0,7924365.0,3944992.0,3674087.0,3;0,8105594.0,5564465.0,9156953.0,5197316.0,6224785.0,8558911.0,9359362.0,45;0,9631507.0,8490207.0,9260728.0,2114197.0,5432418.0,4678629.0,5710823.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7440611.0,1632411.0,7163452.0,2598248.0,75;0,1352799.0,5205253.0,04346085.0,1587844.0,6620506.0,7005232.0,5575489.0,1;0,383821.0,7086946.0,2485197.0,700539.0,3745081.0,5200954.0,2723878.0,5;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,6154227.0,5992499.0,5588067.0,4388534.0,4;0,7140521.0,5999923.0,9989249.0,4532647.0,9623232.0,5790791.0,6147671.0,3;0,2992035.0,1768655.0,3256248.0,3898423.0,8035596.0,3422183.0,3653293.0,25;0,8105594.0,5564465.0,9156953.0,5197316.0,6224785.0,8558911.0,9359362.0,45;0,9631507.0,8490207.0,9260728.0,2114197.0,5432418.0,4678629.0,5710823.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7473592.0,1556294.0,6947737.0,2461084.0,5;0,1352799.0,5205253.0,04346085.0,1587844.0,6620506.0,7005232.0,5575489.0,1;0,383821.0,7086946.0,2485197.0,7226573.0,3863847.0,5307148.0,2980775.0,45;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,6528695.0,6502422.0,604127.0,4045911.0,4;0,7140521.0,5999923.0,9989249.0,4532647.0,9623232.0,5790791.0,6147671.0,3;0,2992035.0,1768655.0,3256248.0,3898423.0,8035596.0,3422183.0,3653293.0,25;0,8105594.0,5564465.0,9156953.0,5483862.0,6827813.0,8869498.0,9473426.0,4;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7473592.0,1556294.0,6947737.0,2461084.0,5;0,1352799.0,5205253.0,04346085.0,2259344.0,5747615.0,6528381.0,5496494.0,1;0,383821.0,7086946.0,2485197.0,7226573.0,3863847.0,5307148.0,2980775.0,45;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,6604599.0,644809.0,6103461.0,3949983.0,45;0,7140521.0,5999923.0,9989249.0,4532647.0,9623232.0,5790791.0,6147671.0,3;0,2992035.0,1768655.0,3256248.0,41788.0,8202443.0,2637968.0,3622102.0,2;0,8105594.0,5564465.0,9156953.0,5483862.0,6827813.0,8869498.0,9473426.0,4;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7603514.0,1492634.0,6767931.0,2342207.0,45;0,1352799.0,5205253.0,04346085.0,2259344.0,5747615.0,6528381.0,5496494.0,1;0,383821.0,7086946.0,2485197.0,7226573.0,3863847.0,5307148.0,2980775.0,45;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,6870589.0,6573309.0,5988657.0,4078517.0,55;0,7140521.0,5999923.0,9989249.0,4532647.0,9623232.0,5790791.0,6147671.0,3;0,2992035.0,1768655.0,3256248.0,418678.0,8295525.0,2463685.0,3597308.0,25;0,8105594.0,5564465.0,9156953.0,5483862.0,6827813.0,8869498.0,9473426.0,4;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7765918.0,1413059.0,6543174.0,2193612.0,4;0,1352799.0,5205253.0,04346085.0,2259344.0,5747615.0,6528381.0,5496494.0,1;0,383821.0,7086946.0,2485197.0,7226573.0,3863847.0,5307148.0,2980775.0,45;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,6969106.0,6620267.0,5945606.0,4128227.0,6;0,7140521.0,5999923.0,9989249.0,4532647.0,9623232.0,5790791.0,6147671.0,3;0,2992035.0,1768655.0,3256248.0,418678.0,8295525.0,2463685.0,3597308.0,25;0,8105594.0,5564465.0,9156953.0,5483862.0,6827813.0,8869498.0,9473426.0,4;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7800962.0,1366983.0,6400253.0,2120131.0,35;0,1352799.0,5205253.0,04346085.0,2591461.0,6993873.0,553628.0,4289589.0,15;0,383821.0,7086946.0,2485197.0,7311496.0,3938281.0,5247328.0,2790396.0,4;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,7138937.0,6536191.0,5979748.0,4403142.0,55;0,7140521.0,5999923.0,9989249.0,4522321.0,9640358.0,5790791.0,6147671.0,2;0,2992035.0,1768655.0,3256248.0,418678.0,8295525.0,2463685.0,3597308.0,25;0,8105594.0,5564465.0,9156953.0,5574079.0,751535.0,9259377.0,9594388.0,3;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,2760419.0,6943849.0,5558766.0,3958003.0,25;0,383821.0,7086946.0,2485197.0,746792.0,4102051.0,5259047.0,263322.0,35;0,1310093.0,7972066.0,8111974.0,1899107.0,456444.0,3389164.0,3545247.0,1;0,5352872.0,5563235.0,4566512.0,7435702.0,6685166.0,5952381.0,4217142.0,45;0,7140521.0,5999923.0,9989249.0,4522321.0,9640358.0,5790791.0,6147671.0,2;0,2992035.0,1768655.0,3256248.0,4192101.0,8357579.0,2347496.0,3580779.0,3;0,8105594.0,5564465.0,9156953.0,5574079.0,751535.0,9259377.0,9594388.0,3;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,2760419.0,6943849.0,5558766.0,3958003.0,25;0,383821.0,7086946.0,2485197.0,746792.0,4102051.0,5259047.0,263322.0,35;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7475036.0,6674161.0,5960795.0,4188307.0,5;0,7140521.0,5999923.0,9989249.0,4522321.0,9640358.0,5790791.0,6147671.0,2;0,2992035.0,1768655.0,3256248.0,4192101.0,8357579.0,2347496.0,3580779.0,3;0,8105594.0,5564465.0,9156953.0,5656587.0,7426836.0,9115073.0,9558419.0,25;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,2657003.0,6993873.0,553628.0,4150015.0,3;0,383821.0,7086946.0,2485197.0,7486803.0,4022039.0,5244567.0,2594673.0,3;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7441462.0,6725964.0,5911982.0,4323894.0,55;0,7140521.0,5999923.0,9989249.0,4522321.0,9640358.0,5790791.0,6147671.0,2;0,2992035.0,1768655.0,3256248.0,4302781.0,8425487.0,1984436.0,3569316.0,25;0,8105594.0,5564465.0,9156953.0,5656587.0,7426836.0,9115073.0,9558419.0,25;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,2758286.0,6882393.0,5693229.0,3953135.0,3;0,383821.0,7086946.0,2485197.0,7486803.0,4022039.0,5244567.0,2594673.0,3;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7556488.0,6749195.0,5927067.0,4575167.0,5;0,7140521.0,5999923.0,9989249.0,4522321.0,9640358.0,5790791.0,6147671.0,2;0,2992035.0,1768655.0,3256248.0,4302781.0,8425487.0,1984436.0,3569316.0,25;0,8105594.0,5564465.0,9156953.0,5767431.0,8092244.0,9468876.0,9670389.0,2;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,2855262.0,685295.0,5727831.0,3742767.0,25;0,383821.0,7086946.0,2485197.0,7486803.0,4022039.0,5244567.0,2594673.0,3;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7581266.0,673337.0,5937017.0,4516406.0,55;0,7140521.0,5999923.0,9989249.0,4511994.0,9657484.0,5790791.0,6147671.0,15;0,2992035.0,1768655.0,3256248.0,4302781.0,8425487.0,1984436.0,3569316.0,25;0,8105594.0,5564465.0,9156953.0,5767431.0,8092244.0,9468876.0,9670389.0,2;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,2855262.0,685295.0,5727831.0,3742767.0,25;0,383821.0,7086946.0,2485197.0,7486803.0,4022039.0,5244567.0,2594673.0,3;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7581266.0,673337.0,5937017.0,4516406.0,55;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4302781.0,8425487.0,1984436.0,3569316.0,25;0,8105594.0,5564465.0,9156953.0,5767431.0,8092244.0,9468876.0,9670389.0,2;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,2913067.0,6808788.0,5779734.0,3636576.0,2;0,383821.0,7086946.0,2485197.0,7486803.0,4022039.0,5244567.0,2594673.0,3;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7633913.0,6671589.0,5993151.0,4409911.0,5;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4302781.0,8425487.0,1984436.0,3569316.0,25;0,8105594.0,5564465.0,9156953.0,5767431.0,8092244.0,9468876.0,9670389.0,2;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,292511.0,6770914.0,5850179.0,3616681.0,15;0,383821.0,7086946.0,2485197.0,7486803.0,4022039.0,5244567.0,2594673.0,3;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7671677.0,6688349.0,590932.0,4427451.0,55;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4302781.0,8425487.0,1984436.0,3569316.0,25;0,8105594.0,5564465.0,9156953.0,5743363.0,8079707.0,9516665.0,9635774.0,15;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7825372.0,1317913.0,6249854.0,2022156.0,3;0,1352799.0,5205253.0,04346085.0,292511.0,6770914.0,5850179.0,3616681.0,15;0,383821.0,7086946.0,2485197.0,7486803.0,4022039.0,5244567.0,2594673.0,3;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7739055.0,6622065.0,5962683.0,4304815.0,5;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4223494.0,8667849.0,1766552.0,3428585.0,3;0,8105594.0,5564465.0,9156953.0,5945205.0,8081498.0,9285554.0,9662803.0,2;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7858342.0,134278.0,6291965.0,2049589.0,25;0,1352799.0,5205253.0,04346085.0,292511.0,6770914.0,5850179.0,3616681.0,15;0,383821.0,7086946.0,2485197.0,7518718.0,4089046.0,5242358.0,2438095.0,25;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7739055.0,6622065.0,5962683.0,4304815.0,5;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4235695.0,8667849.0,1766552.0,3408714.0,35;0,8105594.0,5564465.0,9156953.0,6107326.0,8086871.0,9104869.0,968211.0,35;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7858342.0,134278.0,6291965.0,2049589.0,25;0,1352799.0,5205253.0,04346085.0,2955053.0,6666224.0,5916197.0,3649445.0,15;0,383821.0,7086946.0,2485197.0,7518718.0,4089046.0,5242358.0,2438095.0,25;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,787086.0,6774225.0,5803106.0,4585379.0,4;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4235695.0,8667849.0,1766552.0,3408714.0,35;0,8105594.0,5564465.0,9156953.0,6144346.0,8194003.0,8982415.0,9714362.0,35;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7858342.0,134278.0,6291965.0,2049589.0,25;0,1352799.0,5205253.0,04346085.0,2928763.0,6643447.0,5946276.0,3719283.0,2;0,383821.0,7086946.0,2485197.0,7518718.0,4089046.0,5242358.0,2438095.0,25;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7857286.0,695151.0,5569143.0,4589869.0,35;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4238528.0,8667849.0,1766552.0,3393811.0,3;0,8105594.0,5564465.0,9156953.0,6260593.0,8181283.0,8846973.0,9745497.0,4;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7858342.0,134278.0,6291965.0,2049589.0,25;0,1352799.0,5205253.0,04346085.0,2844632.0,6714033.0,5811325.0,3903214.0,25;0,383821.0,7086946.0,2485197.0,7565467.0,411287.0,5387173.0,2468754.0,2;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7824702.0,6920629.0,5585327.0,4575675.0,3;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4238528.0,8667849.0,1766552.0,3393811.0,3;0,8105594.0,5564465.0,9156953.0,6246019.0,8198823.0,8846973.0,9752575.0,5;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,789181.0,1361535.0,6355133.0,2090738.0,2;0,1352799.0,5205253.0,04346085.0,2844632.0,6714033.0,5811325.0,3903214.0,25;0,383821.0,7086946.0,2485197.0,7565467.0,411287.0,5387173.0,2468754.0,2;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7824702.0,6920629.0,5585327.0,4575675.0,3;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,1;0,2992035.0,1768655.0,3256248.0,4242493.0,8667849.0,1766552.0,3372946.0,25;0,8105594.0,5564465.0,9156953.0,6280946.0,8197748.0,8806213.0,9757981.0,5;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,789181.0,1361535.0,6355133.0,2090738.0,2;0,1352799.0,5205253.0,04346085.0,2801734.0,6737687.0,5687938.0,401982.0,3;0,383821.0,7086946.0,2485197.0,7615842.0,4159072.0,5385928.0,2486586.0,25;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7701023.0,687127.0,5801036.0,4483263.0,35;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,15;0,2992035.0,1768655.0,3256248.0,4242493.0,8667849.0,1766552.0,3372946.0,25;0,8105594.0,5564465.0,9156953.0,6280946.0,8197748.0,8806213.0,9757981.0,5;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,789181.0,1361535.0,6355133.0,2090738.0,2;0,1352799.0,5205253.0,04346085.0,2801734.0,6737687.0,5687938.0,401982.0,3;0,383821.0,7086946.0,2485197.0,7623381.0,4181972.0,5373051.0,2587411.0,35;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7701023.0,687127.0,5801036.0,4483263.0,35;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,25;0,2992035.0,1768655.0,3256248.0,4242493.0,8667849.0,1766552.0,3372946.0,25;0,8105594.0,5564465.0,9156953.0,6280946.0,8197748.0,8806213.0,9757981.0,5;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,789181.0,1361535.0,6355133.0,2090738.0,2;0,1352799.0,5205253.0,04346085.0,2888669.0,6713657.0,562264.0,3887795.0,2;0,383821.0,7086946.0,2485197.0,7684383.0,416589.0,537591.0,2576458.0,4;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7606909.0,6791029.0,5957302.0,4376658.0,35;0,7140521.0,5999923.0,9989249.0,4491342.0,9691736.0,5790791.0,6147671.0,25;0,2992035.0,1768655.0,3256248.0,4242493.0,8667849.0,1766552.0,3372946.0,25;0,8105594.0,5564465.0,9156953.0,6280946.0,8197748.0,8806213.0,9757981.0,5;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,1;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7885531.0,1353189.0,6355133.0,2090738.0,25;0,1352799.0,5205253.0,04346085.0,2717003.0,6715536.0,5608597.0,4265822.0,15;0,383821.0,7086946.0,2485197.0,7691368.0,4246107.0,5354976.0,2744603.0,55;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7537857.0,6720819.0,6090837.0,4299302.0,35;0,7140521.0,5999923.0,9989249.0,4585378.0,9700299.0,5790791.0,6284636.0,3;0,2992035.0,1768655.0,3256248.0,424844.0,8667848.0,1766552.0,3341649.0,2;0,8105594.0,5564465.0,9156953.0,6280946.0,8197748.0,8806213.0,9757981.0,5;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
0,2306471.0,6856749.0,1272168.0,7899072.0,1357176.0,6388973.0,2112783.0,35;0,1352799.0,5205253.0,04346085.0,2717003.0,6715536.0,5608597.0,4265822.0,15;0,383821.0,7086946.0,2485197.0,7666554.0,426063.0,5349059.0,2796566.0,55;0,1310093.0,7972066.0,8111974.0,195296.0,2884641.0,2832931.0,2880527.0,05;0,5352872.0,5563235.0,4566512.0,7597276.0,6702605.0,5993738.0,4252989.0,4;0,7140521.0,5999923.0,9989249.0,4560881.0,9717425.0,5790791.0,626507.0,35;0,2992035.0,1768655.0,3256248.0,424844.0,8667848.0,1766552.0,3341649.0,2;0,8105594.0,5564465.0,9156953.0,6280946.0,8197748.0,8806213.0,9757981.0,5;0,9631507.0,8490207.0,9260728.0,2355451.0,6875073.0,3704917.0,549652.0,15;2;0,05237143;20;False;
